Rank,Company Name,Country,"Revenues
($millions)","Profits
($millions)","Assets
($millions)","Market Value 
As of 3/29/18 ($m)"
320,ICICI Bank,India,"$18,500.00","$1,200.00","$172,400.00","$29,700.00"
321,Canadian Natural Resources,Canada,"$14,400.00","$2,100.00","$56,800.00","$44,100.00"
322,HDFC,India,"$10,700.00","$2,500.00","$86,300.00","$47,900.00"
323,China Huarong Asset Management,China,"$18,200.00","$3,200.00","$287,200.00","$13,700.00"
324,Archer Daniels Midland,United States,"$61,400.00","$1,600.00","$41,100.00","$24,600.00"
325,American Airlines Group,United States,"$43,000.00","$1,900.00","$53,300.00","$19,900.00"
326,Kroger,United States,"$122,700.00","$1,900.00","$37,800.00","$21,000.00"
327,Gas Natural Fenosa,Spain,"$27,200.00","$1,600.00","$57,700.00","$26,100.00"
328,CRH,Ireland,"$28,500.00","$2,200.00","$38,000.00","$30,900.00"
329,América Móvil,Mexico,"$54,600.00",$624.00,"$78,700.00","$57,800.00"
330,Eli Lilly,United States,"$23,300.00","$1,100.00","$44,400.00","$89,500.00"
331,Sompo,Japan,"$32,200.00","$1,700.00","$111,400.00","$16,400.00"
332,DNB,Norway,"$9,000.00","$2,700.00","$340,500.00","$31,700.00"
333,BCE,Canada,"$17,900.00","$2,300.00","$43,900.00","$37,800.00"
334,MS&AD Insurance,Japan,"$47,200.00",$878.00,"$203,000.00","$20,300.00"
335,Surgutneftegas,Russia,"$19,800.00","$3,300.00","$74,500.00","$17,200.00"
336,SunTrust Banks,United States,"$9,900.00","$2,400.00","$204,900.00","$32,200.00"
337,PayPal,United States,"$13,800.00","$1,900.00","$42,300.00","$94,000.00"
338,Samsung Life Insurance,South Korea,"$25,300.00","$1,000.00","$264,000.00","$21,400.00"
339,CSX,United States,"$11,400.00","$5,800.00","$37,400.00","$55,200.00"
340,Synchrony Financial,United States,"$14,000.00","$2,100.00","$95,600.00","$25,700.00"
341,Greenland Holdings Group,China,"$44,800.00","$1,500.00","$138,100.00","$13,900.00"
342,Rolls-Royce Holdings,United Kingdom,"$21,000.00","$5,400.00","$40,600.00","$21,100.00"
343,Daiwa House Industry,Japan,"$34,300.00","$2,100.00","$37,900.00","$25,300.00"
344,Nike,United States,"$35,300.00","$1,800.00","$22,600.00","$110,300.00"
345,Eaton,Ireland,"$20,800.00","$3,000.00","$32,700.00","$33,400.00"
346,American Electric,United States,"$15,500.00","$1,800.00","$65,600.00","$33,100.00"
347,Natixis,France,"$10,700.00","$1,800.00","$624,400.00","$26,000.00"
348,Marubeni,Japan,"$68,000.00","$1,900.00","$64,700.00","$14,000.00"
349,Kering,France,"$17,500.00","$2,000.00","$30,700.00","$74,500.00"
350,Celgene,United States,"$13,500.00","$2,800.00","$34,600.00","$61,300.00"
351,Principal Financial Group,United States,"$14,000.00","$2,400.00","$253,600.00","$16,900.00"
352,Linde,Germany,"$19,600.00","$1,800.00","$40,800.00","$39,700.00"
353,Occidental Petroleum,United States,"$13,300.00","$1,900.00","$42,800.00","$65,100.00"
354,SingTel,Singapore,"$12,700.00","$4,100.00","$36,600.00","$43,300.00"
355,Saudi Electricity,Saudi Arabia,"$13,500.00","$1,800.00","$118,900.00","$23,500.00"
356,Discover Financial Services,United States,"$11,900.00","$2,200.00","$102,000.00","$26,300.00"
357,United Continental Holdings,United States,"$38,300.00","$2,200.00","$44,000.00","$18,600.00"
358,Bank Of Shanghai,China,"$11,800.00","$2,300.00","$292,000.00","$19,100.00"
359,Cardinal Health,United States,"$134,400.00","$1,700.00","$41,000.00","$17,200.00"
360,TransCanada,Canada,"$10,500.00","$2,500.00","$69,000.00","$39,100.00"
361,Imperial Tobacco Group,United Kingdom,"$20,100.00","$1,600.00","$42,500.00","$35,700.00"
362,Tyson Foods,United States,"$40,000.00","$2,800.00","$28,100.00","$24,600.00"
363,China Cinda Asset Management,China,"$15,700.00","$2,700.00","$213,000.00","$13,800.00"
364,Telstra,Australia,"$19,900.00","$2,900.00","$33,000.00","$28,700.00"
365,Wesfarmers,Australia,"$53,000.00","$1,200.00","$31,700.00","$37,700.00"
366,Suzuki Motor,Japan,"$33,900.00","$1,900.00","$31,400.00","$27,600.00"
367,Mastercard,United States,"$13,300.00","$4,300.00","$22,900.00","$201,900.00"
368,EOG Resources,United States,"$12,500.00","$3,200.00","$30,700.00","$68,000.00"
369,WPP,United Kingdom,"$19,700.00","$2,300.00","$45,500.00","$22,500.00"
370,Starbucks,United States,"$23,500.00","$4,400.00","$17,600.00","$79,000.00"
371,Femsa,Mexico,"$25,200.00","$2,100.00","$31,300.00","$31,200.00"
372,Deutsche Lufthansa,Germany,"$41,500.00","$2,800.00","$47,100.00","$14,100.00"
373,Automatic Data Processing,United States,"$13,100.00","$1,800.00","$44,100.00","$56,100.00"
374,Citigroup,United States,"$90,500.00","-$5,800.00","$1,922,100.00","$185,800.00"
375,Macquarie Group,Australia,"$10,300.00","$1,900.00","$147,400.00","$27,600.00"
376,Standard Bank Group,South Africa,"$9,600.00","$2,000.00","$163,800.00","$28,500.00"
377,Norfolk Southern,United States,"$10,700.00","$5,500.00","$36,200.00","$43,100.00"
378,Telecom Italia,Italy,"$22,400.00","$1,300.00","$83,600.00","$20,200.00"
379,Lincoln National,United States,"$14,200.00","$2,000.00","$279,200.00","$14,900.00"
380,Southwest Airlines,United States,"$21,200.00","$3,600.00","$25,500.00","$30,400.00"
381,Sinohydro Group,China,"$41,200.00","$1,100.00","$96,400.00","$15,200.00"
382,International Paper,United States,"$23,000.00","$2,700.00","$34,000.00","$22,200.00"
383,Philips,Netherlands,"$20,700.00","$1,800.00","$30,400.00","$39,100.00"
384,First Abu Dhabi Bank,United Arab Emirates,"$7,300.00","$2,900.00","$184,500.00","$33,800.00"
385,Tata Motors,India,"$43,000.00","$1,700.00","$44,600.00","$16,800.00"
386,CenturyLink,United States,"$19,400.00","$1,300.00","$74,800.00","$21,100.00"
387,Freddie Mac,United States,"$73,500.00","$6,300.00","$2,022,500.00",$858.00
388,General Electric,United States,"$121,500.00","-$7,800.00","$358,100.00","$126,800.00"
389,PG&E,United States,"$16,900.00","$1,500.00","$68,200.00","$22,400.00"
390,Heineken Holding,Netherlands,"$24,700.00","$1,100.00","$51,200.00","$28,500.00"
391,Magna International,Canada,"$40,300.00","$2,300.00","$27,100.00","$22,600.00"
392,Etisalat,United Arab Emirates,"$14,200.00","$2,300.00","$34,600.00","$38,200.00"
393,Komatsu,Japan,"$22,600.00","$1,800.00","$31,700.00","$31,100.00"
394,Fannie Mae,United States,"$114,100.00","$4,000.00","$3,364,400.00","$1,500.00"
395,Maybank,Malaysia,"$9,100.00","$1,700.00","$189,100.00","$29,600.00"
396,Saudi Telecom,Saudi Arabia,"$13,600.00","$2,700.00","$30,700.00","$42,800.00"
397,VTB Bank,Russia,"$24,100.00","$2,000.00","$226,000.00","$11,000.00"
398,Booking Holdings,United States,"$13,200.00","$2,500.00","$25,000.00","$99,900.00"
399,Mitsui Fudosan,Japan,"$15,800.00","$1,400.00","$59,300.00","$25,400.00"
400,Takeda Pharmaceutical,Japan,"$15,900.00","$1,700.00","$39,200.00","$33,400.00"
401,Ameriprise Financial,United States,"$12,000.00","$1,700.00","$144,800.00","$19,800.00"
402,New China Life Insurance,China,"$22,100.00",$937.00,"$114,400.00","$20,400.00"
403,Canadian National Railway,Canada,"$10,200.00","$4,200.00","$30,100.00","$58,400.00"
404,Tata Consultancy Services,India,"$19,100.00","$4,000.00","$16,300.00","$98,400.00"
405,Michelin Group,France,"$24,800.00","$1,900.00","$30,300.00","$25,500.00"
406,Freeport-McMoRan,United States,"$17,600.00","$2,300.00","$36,600.00","$23,600.00"
407,Subaru,Japan,"$30,700.00","$2,000.00","$27,100.00","$25,300.00"
408,Novo Nordisk,Denmark,"$17,300.00","$6,100.00","$15,400.00","$116,900.00"
409,China Merchants Shekou Industrial Zone Holdings,China,"$10,600.00","$2,400.00","$57,300.00","$28,600.00"
410,Bristol-Myers Squibb,United States,"$21,000.00",$919.00,"$33,100.00","$84,800.00"
411,LG Electronics,South Korea,"$55,700.00","$1,500.00","$38,700.00","$16,500.00"
412,Texas Instruments,United States,"$15,300.00","$4,000.00","$17,500.00","$106,900.00"
413,International Airlines,United Kingdom,"$26,000.00","$2,300.00","$32,700.00","$19,400.00"
414,Tokyo Electric Power,Japan,"$52,800.00","$2,900.00","$118,400.00","$8,200.00"
415,Bank Rakyat Indonesia,Indonesia,"$9,300.00","$2,200.00","$81,300.00","$27,700.00"
416,Fosun International,China,"$13,100.00","$2,000.00","$82,000.00","$18,600.00"
417,SK Innovation,South Korea,"$40,900.00","$1,900.00","$32,000.00","$17,900.00"
418,Las Vegas Sands,United States,"$13,400.00","$3,800.00","$21,500.00","$61,700.00"
419,Fairfax Financial,Canada,"$14,900.00","$2,300.00","$65,000.00","$16,400.00"
420,China Yangtze Power,China,"$7,400.00","$3,400.00","$47,300.00","$56,000.00"
421,Abbott Laboratories,United States,"$28,400.00",$466.00,"$70,900.00","$107,400.00"
422,Marriott International,United States,"$22,300.00","$1,400.00","$24,500.00","$49,400.00"
423,Bouygues,France,"$37,100.00","$1,200.00","$43,000.00","$18,800.00"
424,Fifth Third Bancorp,United States,"$7,800.00","$2,600.00","$141,500.00","$23,300.00"
425,Biogen,United States,"$11,300.00","$3,000.00","$26,100.00","$59,600.00"
426,SSE,United Kingdom,"$38,000.00","$1,800.00","$30,000.00","$19,400.00"
427,Monsanto,United States,"$14,600.00","$2,500.00","$22,700.00","$55,100.00"
428,Cheung Kong Property Holdings,Hong Kong,"$7,800.00","$3,900.00","$58,000.00","$32,100.00"
429,Andeavor,United States,"$38,600.00","$1,700.00","$28,800.00","$21,200.00"
430,Erste Group Bank,Austria,"$10,200.00","$1,500.00","$282,900.00","$19,000.00"
431,AmerisourceBergen,United States,"$159,300.00",$905.00,"$38,400.00","$19,100.00"
432,Vivendi,France,"$14,000.00","$1,400.00","$41,200.00","$36,100.00"
433,SEB AB,Sweden,"$8,100.00","$1,900.00","$346,700.00","$21,500.00"
434,Shin-Etsu Chemical,Japan,"$13,000.00","$2,400.00","$27,300.00","$44,400.00"
435,Toyota Industries,Japan,"$18,100.00","$1,500.00","$49,400.00","$20,000.00"
436,Hana Financial Group,South Korea,"$12,300.00","$2,000.00","$336,400.00","$13,000.00"
437,Bank Of Jiangsu,China,"$12,900.00","$1,800.00","$285,700.00","$13,200.00"
438,Standard Life,United Kingdom,"$21,300.00",$900.00,"$261,500.00","$14,800.00"
439,Applied Materials,United States,"$15,500.00","$2,900.00","$19,700.00","$57,600.00"
440,General Motors,United States,"$144,400.00","-$3,200.00","$218,700.00","$52,000.00"
441,Mitsubishi Chemical,Japan,"$33,600.00","$1,900.00","$44,200.00","$13,400.00"
442,Swedbank,Sweden,"$6,700.00","$2,300.00","$294,800.00","$25,300.00"
443,Hyundai Mobis,South Korea,"$30,700.00","$1,100.00","$39,600.00","$21,000.00"
444,Cisco Systems,United States,"$48,100.00","-$1,400.00","$131,500.00","$221,300.00"
445,Old Mutual,United Kingdom,"$13,300.00","$1,100.00","$219,100.00","$17,000.00"
446,TJX Cos,United States,"$35,900.00","$2,600.00","$14,100.00","$52,700.00"
447,Daikin Industries,Japan,"$20,700.00","$1,700.00","$23,400.00","$36,000.00"
448,Couche Tard,Canada,"$47,200.00","$1,500.00","$22,900.00","$23,600.00"
449,Kansai Electric Power,Japan,"$28,300.00","$1,400.00","$65,700.00","$13,000.00"
450,Poste Italiane,Italy,"$37,700.00",$777.00,"$243,400.00","$12,700.00"
451,ASML Holding,Netherlands,"$11,000.00","$2,700.00","$22,900.00","$85,400.00"
452,American International Group,United States,"$50,300.00","-$6,300.00","$499,100.00","$47,400.00"
453,CTBC Financial,Taiwan,"$14,600.00","$1,200.00","$179,500.00","$14,400.00"
454,Vodafone,United Kingdom,"$48,200.00",-$20.00,"$173,900.00","$76,000.00"
455,National Commercial Bank,Saudi Arabia,"$6,000.00","$2,700.00","$116,700.00","$35,300.00"
456,Wilmar International,Singapore,"$43,800.00","$1,200.00","$40,900.00","$15,000.00"
457,Adidas,Germany,"$24,900.00","$1,700.00","$18,200.00","$46,200.00"
458,Pernod Ricard,France,"$10,200.00","$1,800.00","$35,800.00","$43,600.00"
459,Sampo,Finland,"$7,800.00","$2,500.00","$58,900.00","$29,200.00"
460,Svenska Handelsbanken,Sweden,"$6,800.00","$1,900.00","$353,900.00","$22,600.00"
461,Sysco,United States,"$57,800.00","$1,300.00","$18,600.00","$32,700.00"
462,Dell Technologies,United States,"$78,700.00","-$3,700.00","$122,300.00","$57,200.00"
463,Sunac China Holdings,China,"$10,000.00","$1,700.00","$95,700.00","$19,600.00"
464,DXC Technology,United States,"$20,200.00","$1,000.00","$33,600.00","$29,900.00"
465,Consolidated Edison,United States,"$12,200.00","$1,600.00","$48,900.00","$23,900.00"
466,BAE Systems,United Kingdom,"$23,600.00","$1,100.00","$30,400.00","$27,500.00"
467,Fujifilm Holdings,Japan,"$21,800.00","$1,600.00","$31,300.00","$20,000.00"
468,Kweichow Moutai,China,"$8,500.00","$4,400.00","$21,400.00","$142,400.00"
469,Swiss Life Holding,Switzerland,"$19,400.00","$1,000.00","$218,600.00","$12,300.00"
470,FirstRand,South Africa,"$6,700.00","$1,900.00","$104,300.00","$30,300.00"
471,Larsen & Toubro,India,"$17,800.00","$1,100.00","$34,400.00","$28,900.00"
472,IntercontinentalExchange,United States,"$5,900.00","$2,500.00","$82,100.00","$41,400.00"
473,Toyota Tsusho,Japan,"$58,600.00","$1,200.00","$40,500.00","$13,100.00"
474,LG Chem,South Korea,"$22,700.00","$1,700.00","$23,400.00","$24,700.00"
475,Centene,United States,"$49,900.00","$1,000.00","$25,200.00","$23,500.00"
476,SK Telecom,South Korea,"$15,700.00","$2,400.00","$33,900.00","$17,000.00"
477,Asahi Group Holdings,Japan,"$19,400.00","$1,400.00","$29,000.00","$25,300.00"
478,Formosa Petrochemical,Taiwan,"$21,400.00","$2,500.00","$16,000.00","$40,200.00"
479,Sumitomo Mitsui Trust,Japan,"$11,300.00","$1,000.00","$570,000.00","$16,300.00"
480,Barclays,United Kingdom,"$27,100.00","-$2,200.00","$1,533,000.00","$49,700.00"
481,Emerson Electric,United States,"$16,500.00","$1,800.00","$19,800.00","$45,400.00"
482,Credit Suisse Group,Switzerland,"$32,700.00",-$916.00,"$844,900.00","$43,700.00"
483,Paccar,United States,"$20,900.00","$1,900.00","$23,800.00","$22,400.00"
484,Waste Management,United States,"$14,600.00","$2,000.00","$22,100.00","$35,800.00"
485,Samsung C&T,South Korea,"$27,100.00",$744.00,"$45,800.00","$23,000.00"
486,Woolworths,Australia,"$43,300.00","$1,400.00","$18,600.00","$28,300.00"
487,Richemont,Switzerland,"$12,300.00","$1,800.00","$22,800.00","$54,500.00"
488,Loews,United States,"$13,800.00","$1,200.00","$80,800.00","$16,500.00"
489,Bank Mandiri,Indonesia,"$8,100.00","$1,700.00","$79,800.00","$24,100.00"
490,State Bank of India,India,"$46,200.00",$1.00,"$535,000.00","$33,300.00"
491,Swire Pacific,Hong Kong,"$10,300.00","$3,300.00","$53,900.00","$15,100.00"
492,Citic Securities,China,"$6,100.00","$1,800.00","$104,800.00","$35,800.00"
493,Telenor,Norway,"$15,000.00","$1,600.00","$25,000.00","$32,400.00"
494,Longfor Properties,China,"$10,800.00","$1,900.00","$55,700.00","$17,700.00"
495,Deutsche Bank,Germany,"$44,600.00","-$1,400.00","$1,817,400.00","$28,700.00"
496,HeidelbergCement,Germany,"$19,500.00","$1,000.00","$42,500.00","$19,000.00"
497,Public Service Enterprise Group,United States,"$9,100.00","$2,000.00","$42,800.00","$25,800.00"
498,Sherwin-Williams,United States,"$16,200.00","$1,800.00","$20,400.00","$35,600.00"
499,General Mills,United States,"$15,700.00","$2,200.00","$22,200.00","$25,300.00"
500,Marsh & McLennan,United States,"$14,500.00","$1,600.00","$21,400.00","$41,400.00"
501,Aisin Seiki,Japan,"$35,300.00","$1,200.00","$33,200.00","$14,900.00"
502,JFE Holdings,Japan,"$33,200.00","$1,300.00","$41,900.00","$12,500.00"
503,Tenaga Nasional,Malaysia,"$11,000.00","$1,900.00","$35,700.00","$23,100.00"
504,Swiss Re,Switzerland,"$42,300.00",$351.00,"$214,600.00","$29,900.00"
505,Kirin Holdings,Japan,"$16,600.00","$2,200.00","$21,100.00","$25,500.00"
506,BOE Technology Group,China,"$14,000.00","$1,100.00","$41,800.00","$24,100.00"
507,Wheelock,Hong Kong,"$9,100.00","$2,600.00","$72,900.00","$14,800.00"
508,Talanx,Germany,"$38,000.00",$758.00,"$182,600.00","$10,500.00"
509,Sasol,South Africa,"$13,200.00","$1,400.00","$32,900.00","$24,900.00"
510,Metallurgical Corp of China,China,"$38,200.00",$952.00,"$67,000.00","$11,400.00"
511,CLP Holdings,Hong Kong,"$11,800.00","$1,800.00","$29,200.00","$26,500.00"
512,NTPC,India,"$12,000.00","$1,600.00","$39,800.00","$20,500.00"
513,Citizens Financial Group,United States,"$6,800.00","$1,700.00","$153,500.00","$20,600.00"
514,EnBW-Energie Baden,Germany,"$24,800.00","$2,300.00","$49,900.00","$9,400.00"
515,Investor AB,Sweden,"$6,600.00","$2,200.00","$49,800.00","$33,900.00"
516,CME Group,United States,"$3,800.00","$4,300.00","$69,900.00","$54,200.00"
517,Compass Group,United Kingdom,"$29,800.00","$1,500.00","$16,000.00","$32,400.00"
518,British Sky Broadcasting,United Kingdom,"$17,100.00","$1,100.00","$25,400.00","$31,600.00"
519,Edp-energias De Portugal,Portugal,"$17,800.00","$1,300.00","$50,500.00","$13,500.00"
520,Schlumberger,United States,"$31,400.00","-$1,300.00","$71,500.00","$98,500.00"
521,Fujitsu,Japan,"$37,000.00","$1,500.00","$29,400.00","$12,800.00"
522,Anhui Conch Cement,China,"$12,000.00","$2,800.00","$19,800.00","$32,300.00"
523,Ecolab,United States,"$14,100.00","$1,500.00","$20,200.00","$42,500.00"
524,China Taiping Insurance,Hong Kong,"$25,400.00",$755.00,"$84,000.00","$13,000.00"
525,Xcel Energy,United States,"$11,400.00","$1,200.00","$43,200.00","$23,000.00"
526,First Data,United States,"$11,500.00","$1,500.00","$45,400.00","$18,000.00"
527,KeyCorp,United States,"$6,900.00","$1,400.00","$137,000.00","$21,500.00"
528,Williams,United States,"$8,100.00","$2,000.00","$47,100.00","$22,500.00"
529,National Bank of Canada,Canada,"$7,200.00","$1,500.00","$204,600.00","$16,800.00"
530,ConocoPhillips,United States,"$30,300.00",-$553.00,"$70,700.00","$81,300.00"
531,Naspers,South Africa,"$6,200.00","$3,500.00","$24,100.00","$112,800.00"
532,Grupo ACS,Spain,"$39,400.00",$905.00,"$38,300.00","$13,600.00"
533,Thales,France,"$17,800.00",$927.00,"$28,000.00","$28,000.00"
534,China Unicom,Hong Kong,"$40,700.00",$262.00,"$88,500.00","$42,500.00"
535,Illinois Tool Works,United States,"$14,600.00","$1,800.00","$16,200.00","$49,400.00"
536,M&T Bank,United States,"$6,100.00","$1,400.00","$118,600.00","$27,000.00"
537,Orsted,Denmark,"$9,700.00","$2,800.00","$24,400.00","$27,000.00"
538,China Zheshang Bank,China,"$10,700.00","$1,500.00","$236,000.00","$11,000.00"
539,Kimberly-Clark,United States,"$18,500.00","$1,800.00","$15,300.00","$36,600.00"
540,Atlas Copco,Sweden,"$13,200.00","$2,000.00","$16,100.00","$49,500.00"
541,Bank of Ningbo,China,"$8,100.00","$1,500.00","$169,900.00","$14,500.00"
542,Associated British Foods,United Kingdom,"$20,300.00","$1,400.00","$17,800.00","$29,500.00"
543,Stryker,United States,"$12,700.00","$1,000.00","$22,100.00","$63,300.00"
544,Newell Brands,United States,"$14,500.00","$2,200.00","$33,500.00","$13,100.00"
545,MTR,Hong Kong,"$7,100.00","$2,200.00","$33,700.00","$34,800.00"
546,DISH Network,United States,"$14,200.00","$2,100.00","$30,200.00","$14,700.00"
547,Kubota,Japan,"$16,000.00","$1,300.00","$25,800.00","$21,100.00"
548,GFNorte,Mexico,"$9,100.00","$1,400.00","$76,200.00","$16,100.00"
549,Colgate-Palmolive,United States,"$15,700.00","$2,100.00","$13,100.00","$54,700.00"
550,Woori Bank,South Korea,"$12,500.00","$1,200.00","$295,500.00","$9,800.00"
551,Novatek,Russia,"$10,500.00","$2,200.00","$18,900.00","$37,900.00"
552,WestRock,United States,"$15,700.00","$1,900.00","$25,400.00","$15,700.00"
553,China Southern Airlines,China,"$19,700.00","$1,000.00","$35,000.00","$14,600.00"
554,Praxair,United States,"$11,700.00","$1,300.00","$20,600.00","$45,300.00"
555,Thomson Reuters,Canada,"$11,300.00","$1,400.00","$26,500.00","$26,800.00"
556,Dollar Tree,United States,"$22,200.00","$1,700.00","$16,500.00","$22,300.00"
557,Regions Financial,United States,"$6,100.00","$1,400.00","$122,900.00","$21,700.00"
558,Resona Holdings,Japan,"$6,200.00","$2,100.00","$472,400.00","$13,200.00"
559,Asahi Kasei,Japan,"$18,400.00","$1,500.00","$21,800.00","$18,800.00"
560,Qualcomm,United States,"$22,600.00","-$4,600.00","$64,100.00","$81,900.00"
561,Swisscom,Switzerland,"$12,100.00","$1,600.00","$23,900.00","$23,900.00"
562,Northern Trust,United States,"$5,900.00","$1,300.00","$129,700.00","$24,500.00"
563,Al Rajhi Bank,Saudi Arabia,"$4,500.00","$2,500.00","$93,100.00","$34,900.00"
564,Mitsubishi Estate,Japan,"$9,700.00",$876.00,"$51,400.00","$25,700.00"
565,Qingdao Haier,China,"$24,600.00","$1,100.00","$24,600.00","$17,300.00"
566,Mapfre,Spain,"$24,900.00",$796.00,"$78,700.00","$10,700.00"
567,Emirates NBD,United Arab Emirates,"$6,100.00","$2,300.00","$129,500.00","$15,500.00"
568,Samsung Fire & Marine,South Korea,"$17,600.00",$855.00,"$69,900.00","$12,000.00"
569,Bank of Nanjing,China,"$8,500.00","$1,500.00","$187,500.00","$11,600.00"
570,TE Connectivity,Switzerland,"$14,000.00","$1,300.00","$19,200.00","$33,100.00"
571,American Tower,United States,"$6,800.00","$1,200.00","$34,400.00","$61,300.00"
572,NVIDIA,United States,"$11,000.00","$3,800.00","$11,500.00","$154,500.00"
573,Cognizant,United States,"$15,200.00","$1,500.00","$15,000.00","$44,900.00"
574,Bank Central Asia,Indonesia,"$5,200.00","$1,800.00","$55,200.00","$40,200.00"
575,Mitsubishi Heavy Industries,Japan,"$37,100.00",$636.00,"$51,600.00","$12,800.00"
576,MGM Resorts,United States,"$10,900.00","$2,000.00","$29,300.00","$17,700.00"
577,Tatneft,Russia,"$11,900.00","$2,100.00","$19,200.00","$25,600.00"
578,Fast Retailing,Japan,"$18,200.00","$1,100.00","$15,200.00","$45,700.00"
579,DTE Energy,United States,"$13,000.00","$1,100.00","$33,800.00","$18,600.00"
580,Formosa Chemicals,Taiwan,"$12,300.00","$1,900.00","$21,100.00","$22,400.00"
581,Grupo Mexico,Mexico,"$10,200.00","$1,700.00","$26,700.00","$22,600.00"
582,Allergan,Ireland,"$16,000.00","-$1,800.00","$112,000.00","$52,100.00"
583,H&M,Sweden,"$23,700.00","$1,800.00","$13,100.00","$26,700.00"
584,KIA Motors,South Korea,"$47,900.00",$571.00,"$49,600.00","$12,700.00"
585,New World Development,Hong Kong,"$7,600.00","$1,900.00","$59,900.00","$15,000.00"
586,Recruit Holdings,Japan,"$19,200.00","$1,300.00","$13,600.00","$42,800.00"
587,Møller-Maersk,Denmark,"$34,700.00","-$1,200.00","$63,400.00","$35,100.00"
588,Industrial Bank of Korea,South Korea,"$11,100.00","$1,400.00","$256,000.00","$8,900.00"
589,Rogers Communications,Canada,"$11,200.00","$1,400.00","$23,400.00","$24,800.00"
590,Reinsurance Group of America,United States,"$12,700.00","$1,800.00","$61,000.00","$9,800.00"
591,Nidec,Japan,"$13,400.00","$1,200.00","$16,600.00","$46,900.00"
592,PPG,United States,"$15,100.00","$1,600.00","$16,500.00","$25,000.00"
593,Constellation Brands,United States,"$7,600.00","$2,300.00","$20,500.00","$41,600.00"
594,RELX Group,United Kingdom,"$9,500.00","$2,100.00","$16,600.00","$43,400.00"
595,Fidelity National Information,United States,"$8,900.00","$1,400.00","$24,400.00","$34,700.00"
596,Chubu Electric Power,Japan,"$25,700.00",$671.00,"$52,000.00","$12,000.00"
597,Simon Property Group,United States,"$5,600.00","$2,000.00","$31,000.00","$49,500.00"
598,Dongfeng Motor Group,China,"$18,500.00","$2,100.00","$32,600.00","$9,700.00"
599,Sumitomo Electric,Japan,"$27,800.00","$1,100.00","$28,400.00","$12,100.00"
600,Suning Appliance,China,"$30,100.00",$641.00,"$25,700.00","$19,700.00"
601,China Eastern Airlines,China,"$15,700.00",$834.00,"$36,200.00","$15,500.00"
602,Ally Financial,United States,"$10,100.00",$965.00,"$170,000.00","$11,500.00"
603,Netflix,United States,"$12,800.00",$671.00,"$20,200.00","$141,900.00"
604,Cummins,United States,"$21,400.00",$928.00,"$18,400.00","$24,100.00"
605,Sumitomo Realty,Japan,"$8,600.00","$1,100.00","$48,800.00","$19,300.00"
606,Teck Resources,Canada,"$9,500.00","$2,100.00","$29,400.00","$16,000.00"
607,Henderson Land,Hong Kong,"$3,200.00","$3,900.00","$52,700.00","$25,900.00"
608,LafargeHolcim,Switzerland,"$26,500.00","-$1,700.00","$65,300.00","$31,600.00"
609,Atlantia,Italy,"$6,100.00","$1,300.00","$48,700.00","$27,500.00"
610,China Fortune Land Development,China,"$8,500.00","$1,400.00","$59,700.00","$13,400.00"
611,Evonik,Germany,"$16,800.00",$997.00,"$25,000.00","$17,400.00"
612,Kyocera,Japan,"$14,200.00",$738.00,"$29,700.00","$22,800.00"
613,Astellas Pharma,Japan,"$11,700.00","$1,500.00","$17,500.00","$30,100.00"
614,Aeon,Japan,"$75,300.00",$220.00,"$88,600.00","$16,500.00"
615,Dollar General,United States,"$23,500.00","$1,500.00","$12,600.00","$25,100.00"
616,Nucor,United States,"$21,000.00","$1,300.00","$16,100.00","$20,100.00"
617,Nan Ya Plastics,Taiwan,"$10,500.00","$1,900.00","$19,700.00","$22,700.00"
618,Zimmer Biomet,United States,"$7,900.00","$1,700.00","$27,200.00","$23,700.00"
619,Ingersoll Rand,Ireland,"$14,600.00","$1,300.00","$18,400.00","$22,000.00"
620,Banco de Sabadell,Spain,"$8,400.00",$987.00,"$269,400.00","$11,500.00"
621,CIMB Group Holdings,Malaysia,"$6,600.00","$1,000.00","$125,300.00","$16,400.00"
622,Raiffeisen Bank International,Austria,"$8,100.00","$1,200.00","$162,300.00","$11,200.00"
623,Siam Commercial Bank,Thailand,"$6,800.00","$1,300.00","$97,700.00","$14,300.00"
624,Omnicom Group,United States,"$15,300.00","$1,100.00","$23,500.00","$17,100.00"
625,Covestro,Germany,"$16,700.00","$2,600.00","$13,900.00","$18,400.00"
626,CBS,United States,"$14,100.00","$1,200.00","$20,600.00","$19,900.00"
627,Adobe Systems,United States,"$7,700.00","$1,900.00","$15,000.00","$119,100.00"
628,Kotak Mahindra Bank,India,"$6,000.00",$962.00,"$51,800.00","$35,800.00"
629,Royal Caribbean Cruises,United States,"$8,800.00","$1,600.00","$24,000.00","$22,700.00"
630,Aon,United Kingdom,"$10,700.00",$742.00,"$27,800.00","$35,200.00"
631,Otsuka Holding,Japan,"$11,300.00","$1,000.00","$22,800.00","$26,000.00"
632,Murata Manufacturing,Japan,"$12,400.00","$1,300.00","$16,900.00","$29,500.00"
633,Nokia,Finland,"$26,500.00","-$1,400.00","$48,300.00","$35,700.00"
634,T&D Holdings,Japan,"$16,200.00",$602.00,"$135,500.00","$10,300.00"
635,Axis Bank,India,"$8,600.00",$590.00,"$94,200.00","$21,100.00"
636,Daqin Railway,China,"$9,200.00","$2,200.00","$20,900.00","$20,700.00"
